url,body,label
http://paypal-secure-verification.com/login,"Su cuenta de PayPal ha sido suspendida temporalmente. Verifique su información ahora haciendo clic en el siguiente enlace para evitar el cierre permanente de su cuenta.",1
http://banco-santander-verificacion.tk/acceso,"Estimado cliente, hemos detectado actividad inusual en su cuenta. Por su seguridad, confirme sus datos de acceso de inmediato o su cuenta será bloqueada en 24 horas.",1
http://netflix-billing-update.info/pay,"Tu suscripción de Netflix ha sido pausada debido a un problema con tu método de pago. Actualiza tu información ahora para seguir disfrutando del servicio.",1
http://dhl-tracking-package.xyz/delivery,"Su paquete no pudo ser entregado por una dirección incompleta. Haga clic aquí para reprogramar la entrega y evitar la devolución del envío.",1
http://microsoft-account-security.click/verify,"Hemos detectado un inicio de sesión sospechoso en su cuenta Microsoft desde un dispositivo desconocido. Verifique su identidad ahora para proteger su cuenta.",1
http://premio-ganador-2024.shop/reclamar,"¡Felicidades! Usted ha sido seleccionado como ganador de un premio de $500,000. Reclame su premio antes de 48 horas ingresando sus datos personales.",1
http://sat-devolucion-fiscal.online/tramite,"Le informamos que tiene una devolución de impuestos pendiente. Complete el formulario con sus datos bancarios para procesar el reembolso.",1
http://binance-security-alert.top/wallet,"Su cuenta de Binance presenta una alerta de seguridad crítica. Confirme su clave privada para evitar la suspensión permanente de su wallet.",1
http://amazon-order-problem.xyz/confirmar,,1
,"Hola, vi tu perfil y me gustaría conectar. Tengo una oferta laboral muy interesante para ti, solo necesito que confirmes tus datos en este enlace: bit.ly/oferta-exclusiva-2024",1
http://apple-id-locked.support/unlock,"Su Apple ID ha sido bloqueado por motivos de seguridad. Desbloquéelo ahora confirmando su contraseña y los datos de su tarjeta.",1
http://trabajo-remoto-facil.click/postular,"Oferta de empleo: gana $3000 USD mensuales trabajando desde casa. Solo necesitamos que pagues una cuota de inscripción de $20 para comenzar.",1
http://buzon-voz-pendiente.net/escuchar,"Tiene un mensaje de voz pendiente de escuchar. Haga clic en el enlace para acceder a su buzón antes de que se elimine automáticamente.",1
http://factura-vencida-pago.info/pagar,"Su factura está vencida desde hace 3 días. Realice el pago de inmediato para evitar cargos adicionales y el corte del servicio.",1
http://corporate-password-expire.click/reset,"Su contraseña corporativa expirará en las próximas 24 horas. Restablezca su contraseña ahora usando el siguiente enlace para no perder acceso a su cuenta.",1
https://www.spotify.com/mx/premium/,"Gracias por ser parte de Spotify Premium. Aquí tienes un resumen de tus canciones más escuchadas este mes.",0
https://calendar.google.com/event?eid=abc123,"Te han invitado a la reunión semanal de equipo el jueves a las 10:00 am. Revisa la agenda adjunta antes de la sesión.",0
https://www.mercadolibre.com.mx/pedidos/123456,"Tu pedido ha sido confirmado y será entregado entre el 12 y 15 de junio. Puedes dar seguimiento desde la sección Mis compras.",0
https://elpais.com/tecnologia/2024-05-10/articulo,"La inteligencia artificial generativa continúa transformando la industria del software según el último reporte publicado esta semana.",0
https://github.com/torvalds/linux/releases,"Se publicó la versión 6.9 del kernel de Linux con mejoras en el soporte de hardware y correcciones de seguridad menores.",0
,"Recordatorio: el webinar sobre desarrollo web comienza este viernes a las 17:00 hrs. El enlace de acceso se enviará una hora antes del evento.",0
https://docs.google.com/document/d/xyz789,"Adjunto el acta de la reunión de planeación trimestral con los puntos acordados y las fechas de seguimiento.",0
https://www.coursera.org/account/accomplishments/abc,"Has completado exitosamente el curso de Python para Ciencia de Datos. Tu certificado ya está disponible en tu perfil.",0
https://www.amazon.com.mx/gp/css/order-history,,0
https://soporte.empresa.com/tickets/4521,"Hola, gracias por contactarnos. Hemos revisado tu consulta sobre el reembolso y el proceso se completará en 3 a 5 días hábiles.",0
https://www.netflix.com/account,"Tu plan se renovará automáticamente el día 20 de este mes por el monto habitual. Puedes revisar o cambiar tu plan desde la configuración de tu cuenta.",0
https://intranet.empresa.com/memos/2024-05,"Se les informa que la oficina permanecerá cerrada el próximo lunes por mantenimiento general de las instalaciones.",0
https://www.linkedin.com/notifications/,"Tienes 3 nuevas notificaciones: 2 felicitaciones por tu aniversario laboral y 1 invitación a conectar de un excompañero.",0
https://www.dhl.com/mx-es/home/tracking.html?tracking-id=998877,"Tu envío fue entregado el 14 de junio a las 11:32 am. Gracias por elegir nuestro servicio.",0
https://zoom.us/j/1234567890,"Te compartimos el enlace de la videollamada programada para el martes a las 9:00 am, hora del centro.",0
